raw_school,canonical_name,abbrv,region
1,-,,
IC,Imperial College London,Imperial,英国
ic applied mathematics,Imperial College London,Imperial,英国
Imperial College Applied Mathematics,Imperial College London,Imperial,英国
Cornell University-tech campus,Cornell University,Cornell,美国
washington settle,University of Washington,UW,美国
纽约大学,New York University,NYU,美国
University of New York,New York University,NYU,美国
香港大学,The University of Hong Kong,HKU,香港
University of Georgia,University of Georgia,UGA,美国
Clemson University,Clemson University,Clemson,美国
University of Notre Dame,University of Notre Dame,Notre Dame,美国
Virginia Tech,Virginia Tech,VT,美国
JHU DS,Johns Hopkins University,JHU,美国
umich 生统,"University of Michigan, Ann Arbor",UMich,美国
南洋理工 Biomedical Data Science,Nanyang Technological University,NTU,新加坡
University of Edingburgh in Statistics and Operational Research,University of Edinburgh,Edinburgh,英国
University of Cambridge Mphil in Data intensive Science,,,
澳大利亚国立大学,Australian National University,ANU,澳大利亚
Karolinska Institute & KTH & SU,,,
